index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-89f7146e-9864-a874-a024-4b4c620d8f98,460.32.03,Tesla V100-SXM2-32GB,1565019013376,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,32510,3,32507,2023/07/01 09:15:38.791
0,5,32510,16536,15974,2023/07/01 09:16:08.855
0,0,32510,20580,11930,2023/07/01 09:16:38.947
0,0,32510,20580,11930,2023/07/01 09:17:08.995
0,57,32510,20580,11930,2023/07/01 09:17:39.060
0,6,32510,20580,11930,2023/07/01 09:18:09.138
0,0,32510,20580,11930,2023/07/01 09:18:39.194
0,30,32510,20580,11930,2023/07/01 09:19:09.264
0,0,32510,20580,11930,2023/07/01 09:19:39.298
0,0,32510,20580,11930,2023/07/01 09:20:09.361
0,82,32510,20580,11930,2023/07/01 09:20:39.449
0,45,32510,20580,11930,2023/07/01 09:21:09.495
0,0,32510,20580,11930,2023/07/01 09:21:39.560
0,100,32510,20580,11930,2023/07/01 09:22:09.599
0,93,32510,20580,11930,2023/07/01 09:22:39.664
0,0,32510,20580,11930,2023/07/01 09:23:09.725
0,0,32510,20580,11930,2023/07/01 09:23:39.764
0,40,32510,20580,11930,2023/07/01 09:24:09.806
0,4,32510,20580,11930,2023/07/01 09:24:39.891
0,57,32510,20580,11930,2023/07/01 09:25:09.960
0,0,32510,20580,11930,2023/07/01 09:25:40.053
0,50,32510,20580,11930,2023/07/01 09:26:10.093
0,0,32510,20580,11930,2023/07/01 09:26:40.162
0,0,32510,20580,11930,2023/07/01 09:27:10.222
0,0,32510,20580,11930,2023/07/01 09:27:40.289
0,42,32510,20580,11930,2023/07/01 09:28:10.357
0,0,32510,20580,11930,2023/07/01 09:28:40.410
0,0,32510,20580,11930,2023/07/01 09:29:10.468
0,0,32510,20580,11930,2023/07/01 09:29:40.542
0,57,32510,20580,11930,2023/07/01 09:30:10.603
0,0,32510,20580,11930,2023/07/01 09:30:40.693
0,0,32510,20580,11930,2023/07/01 09:31:10.758
0,3,32510,20580,11930,2023/07/01 09:31:40.805
0,0,32510,20580,11930,2023/07/01 09:32:10.867
0,0,32510,20580,11930,2023/07/01 09:32:40.937
0,35,32510,20580,11930,2023/07/01 09:33:11.039
0,0,32510,20580,11930,2023/07/01 09:33:41.103
0,8,32510,20580,11930,2023/07/01 09:34:11.147
0,0,32510,20580,11930,2023/07/01 09:34:41.205
0,47,32510,20580,11930,2023/07/01 09:35:11.265
0,47,32510,20580,11930,2023/07/01 09:35:41.305
0,0,32510,20580,11930,2023/07/01 09:36:11.362
0,0,32510,20580,11930,2023/07/01 09:36:41.452
0,0,32510,20580,11930,2023/07/01 09:37:11.506
0,41,32510,20580,11930,2023/07/01 09:37:41.566
